LOADING	D:\Users\24387\AURIX-v1.10.6-workspace\LQ_TC297TestLED-V7.0\Debug\LQ_TC297TestLED-V7.0.elf
EMULATION	Probe - System; Root
EMULATION	Initial debug frequency set
EMULATION	Asserting reset
EMULATION	Connected to SoC/core(s)
EMULATION	Finished connecting to SoC
EMULATION	Releasing reset
EMULATION	Initialization script (if any) done
No RAM which needs initialization found
EMULATION	Final debug frequency set
EMULATION	SoC ID match OK
SoC	Detected device: TC290 series, rev. BB
EMULATION	STARTED
PROGRAMMING 	58622 bytes
PROGRAMMING	Infineon TC29x_PFLASH_8MB (6 sectors)
SoC	Detected device: TC290 series, rev. BB
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	Detected device: TC290 series, rev. BB
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	Detected device: TC290 series, rev. BB
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	Detected device: TC290 series, rev. BB
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	Detected device: TC290 series, rev. BB
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	Detected device: TC290 series, rev. BB
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	Detected device: TC290 series, rev. BB
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
SoC	Detected device: TC290 series, rev. BB
SoC	Detected device: TC290 series, rev. BB
SoC	Detected device: TC100 series, rev. AA
SoC	SMP requirements not satisfied. Check multi-core synchronization settings.
EMULATION	END - Not attempting cleanup
